trial,truth,z_A,dec_A,z_B,dec_B,team_UW,team_WCS,team_DSS,team_CF,team_BF
3694,1,-0.08221671895485927,0,0.9604323437561043,1,1,1,1,0,0
3695,0,-0.7409618614905171,0,-0.1279004479763276,0,0,0,0,0,0
3696,0,-1.0150381087835458,0,-0.3904919090846819,0,0,0,0,0,0
3697,0,-3.221653921904179,0,-1.693558699814695,0,0,0,0,0,0
3698,0,-0.47676676984845434,0,-1.427991707602628,0,0,0,0,0,0
3699,0,-0.7823609593027903,0,-1.7509184769719268,0,0,0,0,0,0
3700,1,1.8712310502568994,1,0.25149520503891615,1,1,1,1,1,1
3701,0,-0.5945095924636451,0,-0.16772196874562773,0,0,0,0,0,0
3702,1,-0.6547474783141723,0,-1.0492623847813767,0,0,0,0,0,0
3703,1,0.34190112702047665,1,0.4725950471020076,1,1,1,1,1,1
3704,0,-2.6910828431366283,0,-1.2752163282602087,0,0,0,0,0,0
3705,0,-1.8109178351996427,0,-1.469199343536859,0,0,0,0,0,0
3706,0,0.03550596815299767,1,-1.0253494165607089,0,0,0,0,1,1
3707,1,0.3526595600463367,1,-0.7204764983450463,0,0,0,0,1,1
3708,0,0.32250823949806573,1,0.20665911795928638,1,1,1,1,1,1
3709,1,-1.3668922508780477,0,0.2319955819510725,1,0,0,0,1,0
3710,1,0.357538602676247,1,1.215214056987588,1,1,1,1,1,1
3711,1,0.12448750161221461,1,-0.043496352106269676,0,1,1,1,1,1
3712,1,1.555848582613206,1,-0.005686061883685589,0,1,1,1,1,1
3713,1,1.2727627681666225,1,2.2733826408134554,1,1,1,1,1,1
3714,1,1.242252150088298,1,-1.223060471680339,0,1,1,1,1,1
3715,1,2.1414100380841012,1,1.6844812434196994,1,1,1,1,1,1
3716,1,0.23191289071343374,1,2.054524037645827,1,1,1,1,1,1
3717,1,1.935080835300719,1,1.1658174962614996,1,1,1,1,1,1
3718,1,-0.44420615087973603,0,0.06952953062897566,1,0,0,0,0,0
3719,0,-1.6808777497656937,0,1.0269020717397415,1,0,0,0,1,0
3720,1,1.3527465714983387,1,0.07823864011000109,1,1,1,1,1,1
3721,1,-0.9047407384088016,0,-0.30578558571072123,0,0,0,0,0,0
3722,1,1.1727656284189578,1,0.011731655808336239,1,1,1,1,1,1
3723,0,-0.4986868062786739,0,-0.9701937391185379,0,0,0,0,0,0
3724,1,1.6718527286548728,1,-0.546623124919582,0,1,1,1,1,1
3725,1,0.5405560350451105,1,1.5100078341089649,1,1,1,1,1,1
